№ п.п.	Время	№ ОР	Tt	Nt, МВт	Твх, гр.	№кан.	Hор, %	dH1, см.	dH2, см.	J, A	dTм, сек	Ro, %	Ah, %/см	An, %/МВт	S^2, %	Файл
1	01:32:02	10	3.52	2307.2	292.63	1	16.64	10	0	8.3711E-05	11.16	-1.9333E-04	2.6855E-03	-5.6472E-04	2.0407E-07	гшнагнашгп.dat
2	01:36:32	10	3.49	2345.6	292.78	1	19.31	10	0	8.5368E-05	11.23	-1.3771E-03	3.0670E-03	-6.0577E-04	3.1134E-07	гшнагнашгп.dat
3	01:36:32	10	3.41	2345.6	292.78	1	19.31	10	0	8.5299E-05	11.23	-8.0409E-04	3.1618E-03	-5.8401E-04	3.0806E-07	гшнагнашгп.dat
4	01:41:02	10	3.4	2334.7	292.7	1	21.97	8	0	8.4532E-05	10.24	-8.8520E-04	3.4634E-03	-5.8594E-04	4.4065E-07	гшнагнашгп.dat
5	01:42:43	10	3.62	2338.5	292.84	1	24.11	12	0	8.4615E-05	12.15	-6.7090E-05	3.4180E-03	-5.7395E-04	3.4856E-07	гшнагнашгп.dat
6	01:45:33	10	3.38	2335	292.68	1	27.31	10	0	8.4623E-05	11.15	-1.0510E-03	3.5422E-03	-5.7686E-04	3.0401E-07	гшнагнашгп.dat
7	01:47:55	10	3.59	2335.1	292.73	1	29.97	8	0	8.4567E-05	10.16	-4.7070E-04	3.3456E-03	-5.4000E-04	2.1804E-07	гшнагнашгп.dat
8	01:49:49	10	3.35	2333.7	292.81	1	32.11	14	0	8.4596E-05	13.13	-2.0994E-04	3.6045E-03	-5.6113E-04	3.1263E-07	гшнагнашгп.dat
9	01:53:29	10	3.4	2332.7	292.69	1	35.84	16	0	8.4372E-05	14.12	-8.3599E-04	3.2902E-03	-5.3564E-04	3.1794E-07	гшнагнашгп.dat
10	01:56:32	10	3.69	2329.8	292.65	1	40.11	10	0	8.3989E-05	11.22	-1.2342E-03	2.8954E-03	-5.2729E-04	1.8436E-07	гшнагнашгп.dat
11	01:57:50	10	3.71	2333.8	292.85	1	42.77	18	0	8.3924E-05	15.11	2.7710E-04	2.7584E-03	-5.3798E-04	2.4149E-07	гшнагнашгп.dat
12	02:00:39	10	3.88	2331.5	292.67	1	47.57	16	0	8.3309E-05	14.12	3.4500E-04	2.2815E-03	-4.3602E-04	2.2771E-07	гшнагнашгп.dat
13	02:02:52	10	3.49	2332.5	292.69	1	51.84	22	0	8.2717E-05	17.15	-1.2012E-04	2.1998E-03	-4.6478E-04	2.1175E-07	гшнагнашгп.dat
14	02:05:46	10	3.68	2333.7	292.67	1	57.71	26	0	8.1796E-05	19.13	-2.7631E-04	1.7291E-03	-4.3313E-04	1.4986E-07	гшнагнашгп.dat
15	02:08:58	10	3.57	2331.5	292.64	1	64.64	20	0	8.0353E-05	16.16	-1.1660E-07	1.5387E-03	-3.9406E-04	7.3634E-08	гшнагнашгп.dat
16	02:11:02	10	4.14	2334.2	292.7	1	69.97	20	0	7.9216E-05	16.16	2.0466E-04	1.2146E-03	-3.5974E-04	1.2922E-07	гшнагнашгп.dat
17	02:12:48	10	4.03	2333.9	292.81	1	75.31	20	0	7.8188E-05	16.16	-8.2889E-05	1.0826E-03	-3.6939E-04	6.6028E-08	гшнагнашгп.dat
18	02:14:32	10	3.19	2330.1	292.75	1	80.64	14	0	7.6941E-05	13.13	-1.1114E-04	1.0942E-03	-3.8051E-04	7.2107E-08	гшнагнашгп.dat
