Âðåìÿ	J1	R1	N1	H10	Òõ
15903866.45	0.000074503998118	-0.000040233336394	2371.0271	83.3067	292.9699
15904324.48	0.000075623998090	0.000975087373584	2382.3005	80.1067	293.01
15904525.99	0.000076334662134	0.001157263913950	2377.1855	76.3733	292.9732
15904724.47	0.000077267998048	0.001718712464948	2384.3025	73.7067	293.0111
15904919.95	0.000077773333973	0.000997604126451	2375.4863	70.5067	292.9809
15905168	0.000078674662075	0.001422884163028	2377.1863	67.3067	292.9811
15905334.18	0.000079377333932	0.001525955559156	2376.4407	65.1733	293.0144
15905518.65	0.000080517333903	0.001971989286817	2389.0801	62.5067	293.0601
15905695.84	0.000081419997943	0.001675036538061	2397.6743	59.84	293.0835
15905855.56	0.000081771997934	0.001891818457452	2382.3469	56.64	293.0257
15906031.36	0.000082493333854	0.001843485647108	2390.7412	53.9733	293.05
15906203.67	0.000082986661966	0.001501248829351	2389.0662	51.3067	293.0612
15906379.8	0.000083407997893	0.001063440857234	2385.709	48.64	293.0602
15906557.59	0.000083770661946	0.001223286810464	2385.2124	45.9733	293.028
15906751.42	0.000084243997872	0.001750550871151	2387.4514	43.3067	293.0269
15906980.71	0.000084446661929	0.001166667874902	2382.6025	40.1067	293.0212
15907163.73	0.000084997333790	0.001941398357407	2383.6399	37.9733	293.0525
15907374.5	0.000085062661914	0.000992983957372	2383.9814	35.3067	293.0269
15907920.82	0.000085558661901	0.001682010221703	2378.7166	28.9067	293.0323
15908108.72	0.000085735997834	0.001821501213239	2378.2085	26.7733	293.0237
15908288.25	0.000085891997830	0.001128424983671	2382.4592	24.64	293.036
15908487.43	0.000085859997831	0.000753961006544	2381.1118	21.9733	293.0215
15908699.04	0.000086097333762	0.000690583794959	2382.1895	19.3067	293.0294
15908906.72	0.000086125333762	0.000478380758254	2381.7693	16.1067	293.0092
15909119.95	0.000085467997841	-0.000676191218989	2365.6863	12.9067	292.945
