Âðåìÿ, ñåê	J1	J2	R1	R2	Rc	P1	Tx	dT	Pïã	H10	H9	Hóïç	Lêä	Läð	Cá ð-ðà	Ñá ïîäï	F ïîäï	N1	Nòã	AO	
15903115,300	8,3753E-005	8,3861E-005	-0,00016321	-0,00012616	-0,00014468	16,58	292,62	314,72	6,82	16,64	103,04	103,04	7,05	2307,6	5,1407	5,61	90757	62,656	-17,39	1,5903E007	
15903384,800	8,5292E-005	8,5504E-005	-0,00011138	-9,4624E-005	-0,000103	16,58	292,78	315,21	6,82	19,31	103,04	103,04	7,12	2345,2	5,15	7,36	90766	64,093	-19,299	1,5903E007	
15903657,000	8,4727E-005	8,521E-005	-0,0020199	-0,0018768	-0,0019484	16,56	292,71	315,08	6,82	21,97	103,04	103,04	7,07	2338	5,18	8,57	90824	63,786	-21,195	1,5904E007	
15903755,800	8,4868E-005	8,5397E-005	-0,0016715	-0,0016036	-0,0016375	16,594	292,88	315,28	6,83	24,11	103,04	103,04	7,0974	2338,6	5,1747	8,6163	90769	64,344	-22,435	1,5904E007	
15903926,600	8,4806E-005	8,5388E-005	-0,0019935	-0,0020137	-0,0020036	16,56	292,72	315,16	6,81	27,31	103,04	103,04	7,07	2339,7	5,2052	8,59	90705	64,125	-24,345	1,5904E007	
15904068,300	8,4782E-005	8,5437E-005	-0,0018865	-0,001867	-0,0018767	16,571	292,77	315,22	6,82	29,97	103,04	103,04	7,08	2340,3	5,2128	8,67	90747	64,117	-25,732	1,5904E007	
15904185,700	8,4724E-005	8,5407E-005	-0,0018631	-0,0018556	-0,0018593	16,591	292,85	315,28	6,823	32,11	103,04	103,04	7,09	2338,6	5,202	8,66	90803	64,277	-26,755	1,5904E007	
15904403,300	8,4511E-005	8,5185E-005	-0,0020345	-0,0020986	-0,0020665	16,56	292,7	315,14	6,8151	35,84	103,04	103,04	7,05	2338,6	5,2599	9,66	90834	63,845	-28,371	1,5904E007	
15904584,300	8,4207E-005	8,4943E-005	-0,0029169	-0,0030442	-0,0029806	16,55	292,68	315,14	6,81	40,11	103,04	103,04	7,06	2339,6	5,2806	10,22	90816	63,856	-29,415	1,5905E007	
15904663,600	8,4231E-005	8,5017E-005	-0,0023287	-0,0022472	-0,002288	16,602	292,91	315,4	6,83	42,77	103,04	103,04	7,08	2341,6	5,27	10,24	90774	64,641	-29,655	1,5905E007	
15904831,500	8,3609E-005	8,4321E-005	-0,0029556	-0,0029225	-0,0029391	16,55	292,69	315,18	6,81	47,57	103,04	103,04	7,07	2341,9	5,28	10,12	90827	63,987	-29,386	1,5905E007	
15904966,500	8,2991E-005	8,3606E-005	-0,0029785	-0,0030875	-0,003033	16,559	292,75	315,25	6,81	51,84	103,04	103,04	7,08	2339,9	5,3251	10,1	90706	64,469	-28,57	1,5905E007	
15905137,900	8,2038E-005	8,2598E-005	-0,0031116	-0,0031276	-0,0031196	16,55	292,7	315,2	6,81	57,71	103,04	103,04	7,0595	2341,1	5,34	10,044	90745	63,937	-26,56	1,5905E007	
15905332,800	8,058E-005	8,1032E-005	-0,0030569	-0,0030878	-0,0030723	16,547	292,66	315,15	6,81	64,64	103,04	103,04	7,05	2341,6	5,3984	10,1	90773	63,547	-23,06	1,5905E007	
15905455,200	7,9502E-005	7,9844E-005	-0,0030998	-0,0030881	-0,003094	16,566	292,76	315,26	6,8174	69,97	103,04	103,04	7,0895	2340,9	5,361	10,21	90698	64,142	-20,558	1,5905E007	
15905562,800	7,8401E-005	7,8678E-005	-0,0030324	-0,0030953	-0,0030638	16,584	292,85	315,33	6,8252	75,31	103,04	103,04	7,08	2340,4	5,4249	8,27	90788	64,461	-17,983	1,5906E007	
15905666,200	7,7126E-005	7,7336E-005	-0,0028476	-0,0030581	-0,0029529	16,58	292,82	315,23	6,8241	80,64	103,04	103,04	7,09	2335,1	5,4509	6,83	90801	64,165	-15,526	1,5906E007	
